Facility Type,School Type,School District,School Name,Address,6-12 Grade Enrollment,Total Enrollment,Average Up to Date Rate,Average Exemption Rate,Average In Process Rate,Average Incomplete Record Rate,Average No Record Rate,HepB: Up to Date Rate,HepB: Medical Exemptions Rate,HepB: Religious Exemptions Rate,HepB: Personal Exemptions Rate,HepB: In Process Rate,HepB: McKinny-Vento Exemptions Rate,HepB: Incomplete Record Rate,HepB: No Record Rate,Dtap: Up to Date Rate,Dtap: Medical Exemptions Rate,Dtap: Religious Exemptions Rate,Dtap: Personal Exemptions Rate,Dtap: In Process Rate,Dtap: McKinny-Vento Exemptions Rate,Dtap: Incomplete Record Rate,Dtap: No Record Rate,Polio: Up to Date Rate,Polio: Medical Exemptions Rate,Polio: Religious Exemptions Rate,Polio: Personal Exemptions Rate,Polio: In Process Rate,Polio: McKinny-Vento Exemptions Rate,Polio: Incomplete Record Rate,Polio: No Record Rate,MMR: Up to Date Rate,MMR: Medical Exemptions Rate,MMR: Religious Exemptions Rate,MMR: Personal Exemptions Rate,MMR: In Process Rate,MMR: McKinny-Vento Exemptions Rate,MMR: Incomplete Record Rate,MMR: No Record Rate,Varicella: Up to Date Rate,Varicella: Medical Exemptions Rate,Varicella: Religious Exemptions Rate,Varicella: Personal Exemptions Rate,Varicella: In Process Rate,Varicella: McKinny-Vento Exemptions Rate,Varicella: Incomplete Record Rate,Varicella: No Record Rate,Tdap: Up to Date,Tdap: Medical Exemptions,Tdap: Religious Exemptions,Tdap: Personal Exemptions,Tdap: In Process,Tdap: McKinny-Vento Exemptions,Tdap: Incomplete Record,Tdap: No Record,Street Address,Zipcode,ADDRESS,CHARTER,CITY,DISTRICT_NAME,DISTRICT_NUMBER,DISTRICT_SETTING,HIGHEST_GRADE,LOWEST_GRADE,PHONE,SCHOOL_CODE,SCHOOL_NAME,STATE,ZIPCODE
PUBLIC,Elementary,DOUGLAS COUNTY RE 1,SOARING HAWK ELEMENTARY SCHOOL,"4665 TANGLEVINE DRIVE CASTLE ROCK, CO 80109",89.0,555.0,0.8743,0.0024,0.0,0.1089,0.0147,0.9351,0.0,0.0,0.0,0.0,0.0,0.0523,0.0126,0.8937,0.0018,0.0,0.0,0.0,0.0,0.0919,0.0126,0.8703,0.0018,0.0,0.0,0.0,0.0,0.1153,0.0126,0.8829,0.0018,0.0,0.0018,0.0,0.0,0.1009,0.0126,0.8829,0.0018,0.0,0.0018,0.0,0.0,0.1009,0.0126,0.2921,0.0,0.0,0.0112,0.0,0.0,0.6292,0.0787,4665 TANGLEVINE DRIVE CASTLE ROCK,80109,4665 TANGLEVINE DRIVE,False,CASTLE ROCK,DOUGLAS COUNTY RE 1,0900,Denver Metro,6th Grade,Preschool,3033875260,8106,SOARING HAWK ELEMENTARY SCHOOL,CO,80109
PUBLIC,K-12,JEFFERSON COUNTY R-1,SOBESKY ACADEMY,"2001 HOYT STREET LAKEWOOD, CO 80215",121.0,131.0,0.9072,0.067,0.0,0.0232,0.0155,0.9237,0.0,0.0076,0.0458,0.0,0.0,0.0076,0.0153,0.9237,0.0,0.0076,0.0534,0.0,0.0,0.0,0.0153,0.9313,0.0,0.0076,0.0458,0.0,0.0,0.0,0.0153,0.9313,0.0,0.0076,0.0458,0.0,0.0,0.0,0.0153,0.8092,0.0611,0.0076,0.0534,0.0,0.0,0.0534,0.0153,0.9256,0.0,0.0083,0.0496,0.0,0.0,0.0826,0.0165,2001 HOYT STREET LAKEWOOD,80215,2001 HOYT STREET,False,LAKEWOOD,JEFFERSON COUNTY R-1,1420,Denver Metro,12th Grade,Kindergarten,3039825995,8036,SOBESKY ACADEMY,CO,80215
PUBLIC,Elementary,STEAMBOAT SPRINGS RE-2,SODA CREEK ELEMENTARY SCHOOL,"220 PARK AVENUE STEAMBOAT SPRINGS, CO 80487",0.0,565.0,0.9554,0.0425,0.0021,0.0,0.0,0.9487,0.0,0.0,0.0513,0.0,0.0,0.0,0.0,0.9717,0.0,0.0,0.023,0.0053,0.0,0.0,0.0,0.9575,0.0,0.0,0.0407,0.0018,0.0,0.0,0.0,0.954,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.9451,0.0,0.0,0.0513,0.0035,0.0,0.0,0.0,,,,,,,,,220 PARK AVENUE STEAMBOAT SPRINGS,80487,220 PARK AVENUE,False,STEAMBOAT SPRINGS,STEAMBOAT SPRINGS RE-2,2770,Outlying City,5th Grade,Kindergarten,9708790652,8208,SODA CREEK ELEMENTARY SCHOOL,CO,80487
PUBLIC,Elementary,ROARING FORK RE-1,SOPRIS ELEMENTARY SCHOOL,"1150 MOUNT SOPRIS DRIVE GLENWOOD SPRINGS, CO 81602",0.0,589.0,0.964,0.0292,0.0014,0.0054,0.0,0.9626,0.0,0.0034,0.0272,0.0034,0.0,0.0034,0.0,0.966,0.0,0.0034,0.0255,0.0017,0.0,0.0034,0.0,0.966,0.0,0.0034,0.0238,0.0017,0.0,0.0051,0.0,0.9643,0.0,0.0034,0.0255,0.0,0.0,0.0068,0.0,0.961,0.0,0.0034,0.0272,0.0,0.0,0.0085,0.0,,,,,,,,,1150 MOUNT SOPRIS DRIVE GLENWOOD SPRINGS,81602,1150 MOUNT SOPRIS DRIVE,False,GLENWOOD SPRINGS,ROARING FORK RE-1,1180,Outlying City,5th Grade,Preschool,9703845400,8038,SOPRIS ELEMENTARY SCHOOL,CO,81602
PUBLIC,High,SOUTH ROUTT RE 3,SOROCO HIGH SCHOOL,"305 SOUTH GRANT STREET OAK CREEK, CO 80467",103.0,103.0,0.9693,0.0129,0.0,0.0227,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0097,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0097,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0097,0.0,0.0,0.0,0.0,0.835,0.0,0.0,0.0485,0.0,0.0,0.1165,0.0,0.9806,0.0,0.0,0.0,0.0,0.0,0.0194,0.0,305 SOUTH GRANT STREET OAK CREEK,80467,305 SOUTH GRANT STREET,False,OAK CREEK,SOUTH ROUTT RE 3,2780,Remote,12th Grade,9th Grade,9707362531,8050,SOROCO HIGH SCHOOL,CO,80467
PUBLIC,Middle,SOUTH ROUTT RE 3,SOROCO MIDDLE SCHOOL,"305 SOUTH GRANT STREET OAK CREEK, CO 80467",75.0,75.0,0.9822,0.0089,0.0,0.0089,0.0,0.9867,0.0,0.0,0.0133,0.0,0.0,0.0,0.0,0.9867,0.0,0.0,0.0133,0.0,0.0,0.0,0.0,0.9867,0.0,0.0,0.0133,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333,0.0,0.0,0.0133,0.0,0.0,0.0533,0.0,305 SOUTH GRANT STREET OAK CREEK,80467,305 SOUTH GRANT STREET,False,OAK CREEK,SOUTH ROUTT RE 3,2780,Remote,8th Grade,6th Grade,9707368531,8048,SOROCO MIDDLE SCHOOL,CO,80467
PUBLIC,Elementary,SCHOOL DISTRICT 27J,SOUTH ELEMENTARY SCHOOL,"305 SOUTH 5TH AVENUE BRIGHTON, CO 80601",0.0,426.0,0.9887,0.0061,0.0,0.0052,0.0,0.9906,0.0,0.0,0.0047,0.0,0.0,0.0047,0.0,0.9883,0.0,0.0,0.0047,0.0,0.0,0.007,0.0,0.9906,0.0,0.0,0.0047,0.0,0.0,0.0047,0.0,0.9883,0.0023,0.0,0.0047,0.0,0.0,0.0047,0.0,0.9859,0.0023,0.0,0.007,0.0,0.0,0.0047,0.0,,,,,,,,,305 SOUTH 5TH AVENUE BRIGHTON,80601,305 SOUTH 5TH AVENUE,False,BRIGHTON,SCHOOL DISTRICT 27J,0040,Denver Metro,5th Grade,Preschool,3036552600,8060,SOUTH ELEMENTARY SCHOOL,CO,80601
PUBLIC,High,DENVER COUNTY 1,SOUTH HIGH SCHOOL,"1700 EAST LOUISIANA AVENUE DENVER, CO 80210",1595.0,1595.0,0.8949,0.0153,0.007,0.0817,0.0,0.906,0.0025,0.0019,0.0113,0.0006,0.0,0.0777,0.0,0.9016,0.0113,0.0019,0.0113,0.0031,0.0,0.0708,0.0,0.9248,0.0019,0.0094,0.0,0.0,0.0,0.0571,0.0,0.9229,0.0,0.0019,0.0094,0.0,0.0,0.0658,0.0,0.795,0.005,0.0013,0.0094,0.0382,0.0,0.1511,0.0,0.9191,0.0,0.0038,0.0094,0.0,0.0,0.0677,0.0,1700 EAST LOUISIANA AVENUE DENVER,80210,1801 HOLLYWOOD DRIVE,False,PUEBLO,PUEBLO CITY 60,2690,Urban-Suburban,12th Grade,9th Grade,7195497255,8082,SOUTH HIGH SCHOOL,CO,81005
PUBLIC,High,DENVER COUNTY 1,SOUTH HIGH SCHOOL,"1700 EAST LOUISIANA AVENUE DENVER, CO 80210",1595.0,1595.0,0.8949,0.0153,0.007,0.0817,0.0,0.906,0.0025,0.0019,0.0113,0.0006,0.0,0.0777,0.0,0.9016,0.0113,0.0019,0.0113,0.0031,0.0,0.0708,0.0,0.9248,0.0019,0.0094,0.0,0.0,0.0,0.0571,0.0,0.9229,0.0,0.0019,0.0094,0.0,0.0,0.0658,0.0,0.795,0.005,0.0013,0.0094,0.0382,0.0,0.1511,0.0,0.9191,0.0,0.0038,0.0094,0.0,0.0,0.0677,0.0,1700 EAST LOUISIANA AVENUE DENVER,80210,1700 EAST LOUISIANA AVENUE,False,DENVER,DENVER COUNTY 1,0880,Denver Metro,12th Grade,9th Grade,7204236000,8086,SOUTH HIGH SCHOOL,CO,80210
PUBLIC,High,PUEBLO CITY 60,SOUTH HIGH SCHOOL,"1801 HOLLYWOOD DRIVE PUEBLO, CO 81005",1180.0,1180.0,0.9732,0.0189,0.0,0.0079,0.0,0.9763,0.0017,0.0,0.0127,0.0,0.0,0.0093,0.0,0.9864,0.0051,0.0,0.0085,0.0,0.0,0.0,0.0,0.9864,0.0051,0.0,0.0085,0.0,0.0,0.0,0.0,0.9754,0.0102,0.0,0.0127,0.0,0.0,0.0017,0.0,0.9314,0.0068,0.0,0.028,0.0,0.0,0.0339,0.0,0.9831,0.0025,0.0,0.0119,0.0,0.0,0.0025,0.0,1801 HOLLYWOOD DRIVE PUEBLO,81005,1801 HOLLYWOOD DRIVE,False,PUEBLO,PUEBLO CITY 60,2690,Urban-Suburban,12th Grade,9th Grade,7195497255,8082,SOUTH HIGH SCHOOL,CO,81005
PUBLIC,High,PUEBLO CITY 60,SOUTH HIGH SCHOOL,"1801 HOLLYWOOD DRIVE PUEBLO, CO 81005",1180.0,1180.0,0.9732,0.0189,0.0,0.0079,0.0,0.9763,0.0017,0.0,0.0127,0.0,0.0,0.0093,0.0,0.9864,0.0051,0.0,0.0085,0.0,0.0,0.0,0.0,0.9864,0.0051,0.0,0.0085,0.0,0.0,0.0,0.0,0.9754,0.0102,0.0,0.0127,0.0,0.0,0.0017,0.0,0.9314,0.0068,0.0,0.028,0.0,0.0,0.0339,0.0,0.9831,0.0025,0.0,0.0119,0.0,0.0,0.0025,0.0,1801 HOLLYWOOD DRIVE PUEBLO,81005,1700 EAST LOUISIANA AVENUE,False,DENVER,DENVER COUNTY 1,0880,Denver Metro,12th Grade,9th Grade,7204236000,8086,SOUTH HIGH SCHOOL,CO,80210
PUBLIC,Elementary,JEFFERSON COUNTY R-1,SOUTH LAKEWOOD ELEMENTARY SCHOOL,"8425 WEST 1ST AVENUE LAKEWOOD, CO 80226",76.0,527.0,0.9469,0.0125,0.0015,0.0299,0.0092,0.9507,0.0,0.0019,0.0114,0.0019,0.0,0.0247,0.0095,0.962,0.0,0.0019,0.0076,0.0038,0.0,0.0152,0.0095,0.9469,0.0,0.0019,0.0114,0.0,0.0,0.0304,0.0095,0.9507,0.0,0.0019,0.0114,0.0,0.0,0.0266,0.0095,0.9545,0.0,0.0019,0.0133,0.0019,0.0,0.019,0.0095,0.7368,0.0,0.0,0.0,0.0,0.0,0.2632,0.0,8425 WEST 1ST AVENUE LAKEWOOD,80226,8425 WEST 1ST AVENUE,False,LAKEWOOD,JEFFERSON COUNTY R-1,1420,Denver Metro,6th Grade,Kindergarten,3039827325,8102,SOUTH LAKEWOOD ELEMENTARY SCHOOL,CO,80226
PUBLIC,Elementary,PUEBLO COUNTY 70,SOUTH MESA ELEMENTARY SCHOOL,"23701 EAST PRESTON ROAD PUEBLO, CO 81006",0.0,420.0,0.969,0.0214,0.0071,0.0024,0.0,0.9762,0.0,0.0,0.0214,0.0,0.0,0.0024,0.0,0.969,0.0,0.0,0.0214,0.0071,0.0,0.0024,0.0,0.9619,0.0,0.0,0.0214,0.0143,0.0,0.0024,0.0,0.969,0.0,0.0,0.0214,0.0071,0.0,0.0024,0.0,0.969,0.0,0.0,0.0214,0.0071,0.0,0.0024,0.0,,,,,,,,,23701 EAST PRESTON ROAD PUEBLO,81006,23701 EAST PRESTON ROAD,False,PUEBLO,PUEBLO COUNTY 70,2700,Urban-Suburban,5th Grade,Preschool,7195436444,8110,SOUTH MESA ELEMENTARY SCHOOL,CO,81006
PUBLIC,Middle,ADAMS-ARAPAHOE 28J,SOUTH MIDDLE SCHOOL,"12310 EAST PARKVIEW DR AURORA, CO 80011",736.0,736.0,0.9296,0.0032,0.0016,0.0643,0.0,0.9606,0.0,0.0014,0.0014,0.0014,0.0,0.0353,0.0,0.9728,0.0,0.0014,0.0014,0.0027,0.0,0.0217,0.0,0.9688,0.0,0.0014,0.0014,0.0027,0.0,0.0258,0.0,0.9742,0.0,0.0014,0.0014,0.0014,0.0,0.0217,0.0,0.9429,0.0,0.0014,0.0014,0.0014,0.0082,0.0448,0.0,0.7582,0.0,0.0027,0.0027,0.0,0.0,0.2364,0.0,12310 EAST PARKVIEW DR AURORA,80011,12310 EAST PARKVIEW DR,False,AURORA,ADAMS-ARAPAHOE 28J,0180,Denver Metro,8th Grade,6th Grade,3033647623,8078,SOUTH MIDDLE SCHOOL,CO,80011
PUBLIC,Elementary,PUEBLO CITY 60,SOUTH PARK ELEMENTARY SCHOOL,"3100 HOLLYWOOD PUEBLO, CO 81005",0.0,296.0,0.975,0.0135,0.0,0.0115,0.0,0.9831,0.0,0.0034,0.0034,0.0,0.0,0.0101,0.0,0.9899,0.0,0.0034,0.0034,0.0,0.0,0.0034,0.0,0.9493,0.027,0.0034,0.0034,0.0,0.0,0.0169,0.0,0.9831,0.0,0.0034,0.0034,0.0,0.0,0.0101,0.0,0.9696,0.0034,0.0068,0.0034,0.0,0.0,0.0169,0.0,,,,,,,,,3100 HOLLYWOOD PUEBLO,81005,3100 HOLLYWOOD,False,PUEBLO,PUEBLO CITY 60,2690,Urban-Suburban,5th Grade,Preschool,7195497600,8116,SOUTH PARK ELEMENTARY SCHOOL,CO,81005
PUBLIC,High,PARK COUNTY RE-2,SOUTH PARK HIGH SCHOOL,"640 HATHAWAY STREET FAIRPLAY, CO 80440",124.0,124.0,0.9624,0.0282,0.0148,0.0,0.0,0.9758,0.0,0.0,0.0242,0.0081,0.0,0.0,0.0,0.9758,0.0,0.0,0.0242,0.0,0.0,0.0,0.0,0.9677,0.0081,0.0,0.0242,0.0,0.0,0.0,0.0,0.9758,0.0081,0.0,0.0242,0.0,0.0,0.0,0.0,0.9194,0.0081,0.0,0.0,0.0806,0.0,0.0,0.0,0.9597,0.0081,0.0,0.0403,0.0,0.0,0.0,0.0,640 HATHAWAY STREET FAIRPLAY,80440,640 HATHAWAY STREET,False,FAIRPLAY,PARK COUNTY RE-2,2610,Remote,12th Grade,9th Grade,7198364410,8118,SOUTH PARK HIGH SCHOOL,CO,80440
PUBLIC,Middle,PARK COUNTY RE-2,SOUTH PARK MIDDLE SCHOOL,"640 HATHAWAY STREET FAIRPLAY, CO 80440",113.0,113.0,0.9351,0.0619,0.0029,0.0,0.0,0.9115,0.0,0.0,0.0885,0.0,0.0,0.0,0.0,0.9558,0.0,0.0,0.0442,0.0,0.0,0.0,0.0,0.9558,0.0,0.0,0.0442,0.0,0.0,0.0,0.0,0.9469,0.0088,0.0,0.0442,0.0,0.0,0.0,0.0,0.9381,0.0,0.0,0.0531,0.0088,0.0,0.0,0.0,0.9027,0.0,0.0,0.0885,0.0088,0.0,0.0,0.0,640 HATHAWAY STREET FAIRPLAY,80440,640 HATHAWAY STREET,False,FAIRPLAY,PARK COUNTY RE-2,2610,Remote,8th Grade,6th Grade,7198364406,7891,SOUTH PARK MIDDLE SCHOOL,CO,80440
PUBLIC,Elementary,DOUGLAS COUNTY RE 1,SOUTH RIDGE ELEMENTARY AN IB WORLD SCHOOL,"1100 SOUTH STREET CASTLE ROCK, CO 80104",80.0,502.0,0.9154,0.0127,0.0004,0.0714,0.0,0.9542,0.0,0.0,0.012,0.0,0.0,0.0339,0.0,0.9283,0.002,0.0,0.012,0.002,0.0,0.0558,0.0,0.9183,0.002,0.0,0.012,0.0,0.0,0.0677,0.0,0.9243,0.0,0.0,0.0139,0.0,0.0,0.0618,0.0,0.9064,0.0,0.0,0.012,0.0,0.0,0.0817,0.0,0.575,0.0,0.0,0.0,0.0,0.0,0.425,0.0,1100 SOUTH STREET CASTLE ROCK,80104,1100 SOUTH STREET,False,CASTLE ROCK,DOUGLAS COUNTY RE 1,0900,Denver Metro,6th Grade,Preschool,3033875075,8126,SOUTH RIDGE ELEMENTARY AN IB WORLD SCHOOL,CO,80104
PUBLIC,Elementary,SOUTH ROUTT RE 3,SOUTH ROUTT ELEMENTARY SCHOOL,"448 MAIN STREET YAMPA, CO 80483",0.0,151.0,0.943,0.0212,0.0,0.0358,0.0,0.9603,0.0,0.0,0.0199,0.0,0.0,0.0199,0.0,0.9536,0.0,0.0,0.0199,0.0,0.0,0.0265,0.0,0.9404,0.0,0.0,0.0199,0.0,0.0,0.0397,0.0,0.9272,0.0066,0.0,0.0199,0.0,0.0,0.0464,0.0,0.9338,0.0,0.0,0.0199,0.0,0.0,0.0464,0.0,,,,,,,,,448 MAIN STREET YAMPA,80483,448 MAIN STREET,False,YAMPA,SOUTH ROUTT RE 3,2780,Remote,5th Grade,Kindergarten,9706384558,8120,SOUTH ROUTT ELEMENTARY SCHOOL,CO,80483
PUBLIC,Middle,WELD COUNTY RE-1,SOUTH VALLEY MIDDLE SCHOOL,"1004 MAIN STREET PLATTEVILLE, CO 80651",200.0,200.0,0.9867,0.0133,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.03,0.0,0.0,0.0,0.0,1004 MAIN STREET PLATTEVILLE,80651,1004 MAIN STREET,False,PLATTEVILLE,WELD COUNTY RE-1,3080,Outlying Town,8th Grade,6th Grade,9703504201,7058,SOUTH VALLEY MIDDLE SCHOOL,CO,80651
PUBLIC,Elementary,SCHOOL DISTRICT 27J,SOUTHEAST ELEMENTARY SCHOOL,"1595 SOUTHERN STREET BRIGHTON, CO 80601",0.0,508.0,0.9815,0.0126,0.0,0.0059,0.0,0.9902,0.0,0.0,0.0059,0.0,0.0,0.0039,0.0,0.9803,0.0,0.0,0.0138,0.0,0.0,0.0059,0.0,0.9823,0.0,0.0,0.0118,0.0,0.0,0.0059,0.0,0.9823,0.0,0.0,0.0118,0.0,0.0,0.0059,0.0,0.9724,0.002,0.0,0.0177,0.0,0.0,0.0079,0.0,,,,,,,,,1595 SOUTHERN STREET BRIGHTON,80601,1595 SOUTHERN STREET,False,BRIGHTON,SCHOOL DISTRICT 27J,0040,Denver Metro,5th Grade,Preschool,3038662650,8130,SOUTHEAST ELEMENTARY SCHOOL,CO,80601
PUBLIC,Middle,BOULDER VALLEY RE 2,SOUTHERN HILLS MIDDLE SCHOOL,"1500 KNOX DRIVE BOULDER, CO 80305",560.0,560.0,0.9208,0.0217,0.0024,0.0521,0.0036,0.9071,0.0,0.0036,0.0179,0.0107,0.0,0.0571,0.0036,0.9643,0.0018,0.0036,0.0107,0.0,0.0,0.0161,0.0036,0.9393,0.0018,0.0036,0.0161,0.0018,0.0,0.0339,0.0036,0.9321,0.0036,0.0018,0.0143,0.0018,0.0,0.0464,0.0036,0.9179,0.0018,0.0018,0.0268,0.0,0.0,0.0482,0.0036,0.8643,0.0036,0.0018,0.0161,0.0,0.0,0.1107,0.0036,1500 KNOX DRIVE BOULDER,80305,1500 KNOX DRIVE,False,BOULDER,BOULDER VALLEY RE 2,0480,Denver Metro,8th Grade,6th Grade,7205613400,8135,SOUTHERN HILLS MIDDLE SCHOOL,CO,80305
PUBLIC,Elementary,DENVER COUNTY 1,SOUTHMOOR ELEMENTARY SCHOOL,"3755 SOUTH MAGNOLIA WAY DENVER, CO 80237",0.0,447.0,0.889,0.0206,0.0013,0.0577,0.0313,0.8814,0.0,0.0,0.0179,0.0,0.0,0.0694,0.0313,0.8904,0.0067,0.0045,0.0134,0.0022,0.0,0.0515,0.0313,0.8926,0.0,0.0045,0.0157,0.0022,0.0,0.0537,0.0313,0.8993,0.0,0.0045,0.0134,0.0022,0.0,0.0492,0.0313,0.8814,0.0,0.0045,0.0179,0.0,0.0,0.0649,0.0313,,,,,,,,,3755 SOUTH MAGNOLIA WAY DENVER,80237,3755 SOUTH MAGNOLIA WAY,False,DENVER,DENVER COUNTY 1,0880,Denver Metro,5th Grade,Preschool,7204243930,8138,SOUTHMOOR ELEMENTARY SCHOOL,CO,80237
PUBLIC,High,MONTEZUMA-CORTEZ RE-1,SOUTHWEST OPEN CHARTER SCHOOL,"401 NORTH DOLORES ROAD CORTEZ, CO 81321",141.0,141.0,0.922,0.0142,0.0,0.0638,0.0,0.9362,0.0,0.0,0.0142,0.0,0.0,0.0496,0.0,0.9433,0.0,0.0,0.0142,0.0,0.0,0.0426,0.0,0.9433,0.0,0.0,0.0142,0.0,0.0,0.0426,0.0,0.9362,0.0,0.0,0.0142,0.0,0.0,0.0496,0.0,0.8369,0.0,0.0,0.0142,0.0,0.0,0.1489,0.0,0.9362,0.0,0.0,0.0142,0.0,0.0,0.0496,0.0,401 NORTH DOLORES ROAD CORTEZ,81321,401 NORTH DOLORES ROAD,True,CORTEZ,MONTEZUMA-CORTEZ RE-1,2035,Outlying City,12th Grade,9th Grade,9705651150,8133,SOUTHWEST OPEN CHARTER SCHOOL,CO,81321
PUBLIC,Elementary,SPRINGFIELD RE-4,SPRINGFIELD ELEMENTARY SCHOOL,"389 TIPTON STREET SPRINGFIELD, CO 81073",19.0,162.0,0.9723,0.0253,0.0024,0.0,0.0,0.9877,0.0,0.0,0.0123,0.0,0.0,0.0,0.0,0.9753,0.0,0.0,0.0247,0.0,0.0,0.0,0.0,0.9753,0.0,0.0,0.0247,0.0,0.0,0.0,0.0,0.9753,0.0,0.0,0.0247,0.0,0.0,0.0,0.0,0.9753,0.0,0.0,0.0247,0.0,0.0,0.0,0.0,0.7368,0.0,0.0,0.1579,0.1053,0.0,0.0,0.0,389 TIPTON STREET SPRINGFIELD,81073,389 TIPTON STREET,False,SPRINGFIELD,SPRINGFIELD RE-4,0250,Outlying Town,6th Grade,Preschool,7195234391,8160,SPRINGFIELD ELEMENTARY SCHOOL,CO,81073
PUBLIC,Middle/High,SPRINGFIELD RE-4,SPRINGFIELD JUNIOR/SENIOR HIGH SCHOOL,"389 TIPTON STREET SPRINGFIELD, CO 81073",112.0,112.0,0.9807,0.0193,0.0,0.0,0.0,0.9911,0.0,0.0,0.0089,0.0,0.0,0.0,0.0,0.9821,0.0,0.0,0.0179,0.0,0.0,0.0,0.0,0.9821,0.0,0.0,0.0179,0.0,0.0,0.0,0.0,0.9821,0.0,0.0,0.0179,0.0,0.0,0.0,0.0,0.9732,0.0,0.0,0.0268,0.0,0.0,0.0,0.0,0.9732,0.0,0.0,0.0268,0.0,0.0,0.0,0.0,389 TIPTON STREET SPRINGFIELD,81073,389 TIPTON STREET,False,SPRINGFIELD,SPRINGFIELD RE-4,0250,Outlying Town,12th Grade,7th Grade,7195236522,8168,SPRINGFIELD JUNIOR/SENIOR HIGH SCHOOL,CO,81073
PUBLIC,Elementary,FALCON 49,SPRINGS RANCH ELEMENTARY SCHOOL,"4350 CENTERVILLE DRIVE COLORADO SPRINGS, CO 80922",0.0,566.0,0.9583,0.0332,0.0004,0.0057,0.0,0.9647,0.0071,0.0053,0.0177,0.0018,0.0,0.0035,0.0,0.9629,0.0071,0.0071,0.0177,0.0,0.0,0.0035,0.0,0.9576,0.0071,0.0071,0.0177,0.0,0.0,0.0071,0.0,0.9541,0.0088,0.0071,0.0194,0.0,0.0,0.0071,0.0,0.9523,0.0106,0.0071,0.0194,0.0,0.0,0.0071,0.0,,,,,,,,,4350 CENTERVILLE DRIVE COLORADO SPRINGS,80922,4350 CENTERVILLE DRIVE,False,COLORADO SPRINGS,DISTRICT 49,1110,Urban-Suburban,5th Grade,Preschool,7194948600,8010,SPRINGS RANCH ELEMENTARY SCHOOL,CO,80922
PUBLIC,K-12,FALCON 49,SPRINGS STUDIO FOR ACADEMIC EXCELLENCE,"10850 EAST WOODMEN ROAD FALCON, CO 80831",402.0,483.0,0.8562,0.0781,0.0004,0.044,0.0213,0.8675,0.0083,0.0104,0.058,0.0,0.0,0.0352,0.0207,0.882,0.0062,0.0083,0.0559,0.0021,0.0,0.0248,0.0207,0.8778,0.0041,0.0104,0.06,0.0,0.0,0.0269,0.0207,0.8737,0.0041,0.0083,0.06,0.0,0.0,0.0331,0.0207,0.8178,0.0145,0.0124,0.0642,0.0,0.0,0.0704,0.0207,0.8109,0.0025,0.01,0.0721,0.0,0.0,0.0796,0.0249,10850 EAST WOODMEN ROAD FALCON,80831,6113 Constitution Ave,False,COLORADO SPRINGS,DISTRICT 49,1110,Urban-Suburban,12th Grade,Kindergarten,7194948940,2877,SPRINGS STUDIO FOR ACADEMIC EXCELLENCE,CO,80915
PUBLIC,Middle,WIDEFIELD 3,SPROUL JUNIOR HIGH SCHOOL,"235 SUMAC DRIVE COLORADO SPRINGS, CO 80911",561.0,561.0,0.8827,0.0006,0.0003,0.1004,0.016,0.9251,0.0,0.0,0.0,0.0,0.0,0.0588,0.016,0.9572,0.0,0.0,0.0,0.0018,0.0,0.025,0.016,0.9412,0.0,0.0,0.0,0.0,0.0,0.0428,0.016,0.9447,0.0,0.0,0.0018,0.0,0.0,0.0374,0.016,0.9162,0.0,0.0,0.0018,0.0,0.0,0.066,0.016,0.6114,0.0,0.0,0.0,0.0,0.0,0.3725,0.016,235 SUMAC DRIVE COLORADO SPRINGS,80911,235 SUMAC DRIVE,False,COLORADO SPRINGS,WIDEFIELD 3,0990,Urban-Suburban,8th Grade,6th Grade,7193913215,8178,SPROUL JUNIOR HIGH SCHOOL,CO,80911
PUBLIC,High,JEFFERSON COUNTY R-1,STANDLEY LAKE HIGH SCHOOL,"9300 WEST 104TH AVENUE WESTMINSTER, CO 80021",1298.0,1298.0,0.9759,0.0064,0.0,0.0171,0.0,0.9846,0.0,0.0,0.0031,0.0,0.0,0.0123,0.0,0.9807,0.0,0.0,0.0046,0.0,0.0,0.0146,0.0,0.9792,0.0,0.0,0.0031,0.0,0.0,0.0177,0.0,0.98,0.0008,0.0,0.0039,0.0,0.0,0.0116,0.0,0.9599,0.0,0.0,0.0092,0.0,0.0,0.0308,0.0,0.9707,0.0,0.0,0.0139,0.0,0.0,0.0154,0.0,9300 WEST 104TH AVENUE WESTMINSTER,80021,9300 WEST 104TH AVENUE,False,WESTMINSTER,JEFFERSON COUNTY R-1,1420,Denver Metro,12th Grade,9th Grade,3039823311,8209,STANDLEY LAKE HIGH SCHOOL,CO,80021
